bk,age,unit_size,single_unit
0,103,354.51785,0
0,100,289.85736,0
0,96,358.9772,0
0,101,406.91513,0
0,101,327.01855,0
0,101,828.32312,0
0,91,897.90747,1
0,108,297.28961,0
0,109,418.99252,0
0,97,334.45081,0
0,112,386.47647,1
0,112,408.40158,0
0,113,261.24323,0
0,89,709.77893,0
0,89,505.39233,0
0,105,478.54337,0
0,85,513.28906,0
0,75,826.83667,0
0,79,245.82133,0
0,112,679.58545,1
0,107,751.49237,1
0,102,620.1275,0
0,106,872.91656,0
0,108,590.8631,0
0,35,531.49805,0
0,82,598.1095,0
0,100,413.23254,0
0,109,260.5,0
0,88,334.45081,0
0,97,248.32971,0
0,113,384.061,0
0,83,647.53394,1
0,112,445.19116,0
0,102,293.01605,0
0,75,696.77252,0
0,86,245.82133,0
0,102,503.53427,0
0,105,347.82883,0
0,109,457.54727,0
0,93,331.10629,0
0,71,177.25893,1
0,111,522.57935,0
0,105,265.70258,0
0,102,236.06653,0
0,103,945.56671,0
0,102,430.6983,1
0,113,295.43155,0
0,102,294.31671,0
0,110,650.32098,0
0,95,956.90088,0
0,76,410.63126,0
0,111,597.83081,1
0,112,628.76752,1
0,113,300.81992,1
0,78,708.38538,0
0,97,687.48218,1
0,108,382.94617,1
0,112,920.6687,0
0,98,529.54712,1
0,111,530.38324,0
0,112,905.33972,0
0,102,485.51108,0
0,96,298.77606,1
0,112,337.42371,0
0,90,752.51428,1
0,113,274.99289,0
0,94,737.64984,0
0,112,967.12024,0
0,102,309.5528,0
0,85,156.07704,0
0,112,904.31781,0
0,102,829.71667,0
0,101,282.14642,0
0,97,289.85736,0
0,95,882.11401,0
0,91,322.46631,0
0,107,139.35451,0
0,99,347.45721,0
0,102,141.86288,1
0,87,863.53339,0
0,95,557.41803,0
0,102,607.0282,0
0,112,712.1015,0
0,104,209.03175,0
0,104,295.43155,0
0,112,828.23022,0
0,96,536.05029,0
0,82,133.78032,1
0,106,748.33368,0
0,111,347.82883,1
0,86,113.71327,1
0,92,460.42728,0
0,94,373.28424,0
0,83,232.0717,1
0,65,388.33453,0
0,72,396.97452,0
0,94,837.52057,0
0,104,740.34399,0
0,105,542.46063,0
0,82,736.0705,0
0,112,309.92441,0
0,80,48.309559,0
0,109,720.18408,1
0,85,399.1113,0
0,96,204.2937,0
0,104,270.06903,0
0,92,343.18369,0
0,88,368.91782,1
0,9,211.81883,0
0,107,620.2204,1
0,78,343.74109,0
0,94,337.14499,0
0,91,218.32205,1
0,70,209.03175,1
0,90,397.62485,0
0,106,573.76892,0
0,74,938.32031,0
0,105,340.21078,0
0,102,444.81955,0
0,87,236.06653,0
0,112,300.07669,0
0,93,849.59796,0
0,89,711.26538,0
0,107,902.36682,0
0,102,650.32098,0
0,107,317.35666,0
0,97,341.1398,0
0,8,356.74753,0
0,88,356.28302,0
0,109,334.45081,0
0,106,509.10843,0
0,102,775.74005,0
0,97,474.92014,0
0,105,167.2254,1
0,108,371.612,0
0,102,195.0963,0
0,112,612.50946,0
0,101,828.32312,0
0,107,813.83026,0
0,113,493.50073,1
0,92,906.64038,1
0,97,392.51517,0
0,92,300.16959,0
0,92,190.45116,0
0,98,604.24109,0
0,104,782.33618,0
0,82,844.48828,0
0,95,230.77106,0
0,97,699.37378,0
0,67,893.26233,0
0,107,645.21136,0
0,110,634.71332,0
0,87,584.17407,1
0,100,232.1646,0
0,103,418.99252,0
0,88,239.68974,1
0,97,736.72076,0
0,57,696.77252,0
0,90,365.6662,1
0,49,176.5157,1
0,105,301.84186,0
0,110,430.1409,1
0,96,552.30835,0
0,93,372.72684,0
0,87,683.76605,1
0,84,950.39771,0
0,95,775.18262,1
0,103,716.83954,0
0,104,166.94669,0
0,86,638.70813,1
0,99,301.00571,0
0,103,299.14767,0
0,79,394.83774,1
0,97,719.99823,0
0,73,762.2691,1
0,113,561.97028,0
0,106,510.7807,0
0,84,683.76605,1
0,97,270.90515,0
0,106,748.05493,0
0,105,594.57922,1
0,82,629.41785,1
0,104,241.4549,0
0,88,666.57904,0
0,95,409.42352,1
0,79,802.49609,1
0,83,371.612,0
0,104,132.38678,1
0,105,830.367,0
0,105,904.68939,0
0,86,348.20044,1
0,105,714.60986,0
0,104,812.90125,1
0,118,334.45081,0
0,94,333.05725,0
0,98,507.99359,0
0,91,816.61737,0
0,88,257.80582,0
0,105,301.00571,0
0,110,588.63342,0
0,74,887.22363,0
0,106,520.72131,1
0,106,489.13431,0
0,103,789.67548,0
0,93,307.0444,0
0,107,267.56064,1
0,102,854.70758,1
0,93,896.51398,0
0,101,394.83774,1
0,104,364.55136,1
0,97,696.77252,0
0,95,297.28961,0
0,50,287.9993,1
0,98,514.68262,0
0,101,334.45081,0
0,87,581.10828,0
0,100,614.08881,0
0,108,807.32709,0
0,106,529.08258,1
0,93,636.10681,0
0,108,580.82953,0
0,112,327.01855,0
0,107,349.5011,0
0,91,690.17639,0
0,107,691.1983,0
0,104,430.6983,1
0,95,505.39233,0
0,108,515.14716,0
0,68,232.25751,0
0,107,906.26874,0
0,109,180.23183,0
0,104,242.47684,0
0,98,250.8381,1
0,84,427.35379,0
0,78,158.67833,1
0,106,425.49573,1
0,90,676.42676,0
0,79,471.66852,0
0,92,254.92583,0
0,96,181.16084,0
0,88,557.69672,1
0,50,227.61235,1
0,102,862.32562,0
0,97,242.47684,0
0,102,278.70901,1
0,105,640.56616,0
0,95,812.43671,0
0,98,730.21759,0
0,104,889.08173,0
0,107,873.28821,1
0,103,659.61133,1
0,98,603.86951,0
0,94,594.57922,0
0,105,694.35699,0
0,83,257.15552,1
0,95,821.72705,0
0,96,873.10242,0
0,98,679.12091,0
0,106,297.28961,0
0,95,871.89465,0
0,85,380.15909,0
0,91,797.75806,0
0,92,985.70081,0
0,94,817.54639,0
0,107,348.57205,0
0,96,901.80945,0
0,106,633.59845,0
0,96,301.00571,1
0,103,485.41818,0
0,85,198.255,0
0,91,743.224,0
0,95,571.35345,0
0,98,901.15912,0
0,110,552.21545,0
0,99,247.49359,0
0,106,121.33132,0
0,99,247.12198,0
0,114,750.28461,1
0,93,899.76556,0
0,86,222.96719,0
0,86,913.70099,0
0,112,261.33615,0
0,96,381.181,0
0,87,326.64694,0
0,95,193.23824,1
0,102,414.90479,0
0,107,863.53339,0
0,87,835.66248,0
0,93,334.45081,0
0,86,780.84973,0
0,108,371.612,0
0,84,746.94012,0
0,110,314.10504,1
0,105,331.10629,0
0,85,427.35379,0
0,103,867.71405,0
0,84,904.87524,0
0,86,566.70831,0
0,108,193.23824,0
0,98,325.16049,1
0,93,406.91513,0
0,96,201.0421,0
0,103,290.41476,0
0,102,183.94794,1
0,86,306.5799,1
0,1,334.45081,0
0,56,846.53217,1
0,104,270.99805,0
0,96,257.80582,1
0,110,779.92072,0
0,101,357.86237,0
0,106,464.51501,1
0,96,541.62451,0
0,107,350.80173,0
0,106,973.80927,0
0,87,947.14606,0
0,107,241.08328,0
0,95,970.46472,1
0,92,706.34149,0
0,107,371.612,0
0,95,297.28961,0
0,105,949.84027,0
0,101,477.52142,0
0,112,877.56177,0
0,86,706.06281,0
0,95,413.88287,1
0,110,312.15408,1
0,106,918.34613,0
0,102,373.47006,1
0,94,447.79245,0
